seed,lambda,mu
0,256,2
1,256,2
2,256,2
3,256,2
4,256,2
5,256,2
6,256,2
7,256,2
8,256,2
9,256,2
10,256,2
11,256,2
12,256,2
13,256,2
14,256,2
15,256,2
16,256,2
17,256,2
18,256,2
19,256,2
20,256,2
21,256,2
22,256,2
23,256,2
24,256,2
25,256,2
26,256,2
27,256,2
28,256,2
29,256,2
30,256,2
31,256,2
32,256,2
33,256,2
34,256,2
35,256,2
36,256,2
37,256,2
38,256,2
39,256,2
40,256,2
41,256,2
42,256,2
43,256,2
44,256,2
45,256,2
46,256,2
47,256,2
48,256,2
49,256,2
50,256,2
51,256,2
52,256,2
53,256,2
54,256,2
55,256,2
56,256,2
57,256,2
58,256,2
59,256,2
60,256,2
61,256,2
62,256,2
63,256,2
64,256,2
65,256,2
66,256,2
67,256,2
68,256,2
69,256,2
70,256,2
71,256,2
72,256,2
73,256,2
74,256,2
75,256,2
76,256,2
77,256,2
78,256,2
79,256,2
80,256,2
81,256,2
82,256,2
83,256,2
84,256,2
85,256,2
86,256,2
87,256,2
88,256,2
89,256,2
90,256,2
91,256,2
92,256,2
93,256,2
94,256,2
95,256,2
96,256,2
97,256,2
98,256,2
99,256,2
100,256,2
101,256,2
102,256,2
103,256,2
104,256,2
105,256,2
106,256,2
107,256,2
108,256,2
109,256,2
110,256,2
111,256,2
112,256,2
113,256,2
114,256,2
115,256,2
116,256,2
117,256,2
118,256,2
119,256,2
120,256,2
121,256,2
122,256,2
123,256,2
124,256,2
125,256,2
126,256,2
127,256,2
128,256,2
129,256,2
130,256,2
131,256,2
132,256,2
133,256,2
134,256,2
135,256,2
136,256,2
137,256,2
138,256,2
139,256,2
140,256,2
141,256,2
142,256,2
143,256,2
144,256,2
145,256,2
146,256,2
147,256,2
148,256,2
149,256,2
150,256,2
151,256,2
152,256,2
153,256,2
154,256,2
155,256,2
156,256,2
157,256,2
158,256,2
159,256,2
160,256,2
161,256,2
162,256,2
163,256,2
164,256,2
165,256,2
166,256,2
167,256,2
168,256,2
169,256,2
170,256,2
171,256,2
172,256,2
173,256,2
174,256,2
175,256,2
176,256,2
177,256,2
178,256,2
179,256,2
180,256,2
181,256,2
182,256,2
183,256,2
184,256,2
185,256,2
186,256,2
187,256,2
188,256,2
189,256,2
190,256,2
191,256,2
192,256,2
193,256,2
194,256,2
195,256,2
196,256,2
197,256,2
198,256,2
199,256,2
200,256,2
201,256,2
202,256,2
203,256,2
204,256,2
205,256,2
206,256,2
207,256,2
208,256,2
209,256,2
210,256,2
211,256,2
212,256,2
213,256,2
214,256,2
215,256,2
216,256,2
217,256,2
218,256,2
219,256,2
220,256,2
221,256,2
222,256,2
223,256,2
224,256,2
225,256,2
226,256,2
227,256,2
228,256,2
229,256,2
230,256,2
231,256,2
232,256,2
233,256,2
234,256,2
235,256,2
236,256,2
237,256,2
238,256,2
239,256,2
240,256,2
241,256,2
242,256,2
243,256,2
244,256,2
245,256,2
246,256,2
247,256,2
248,256,2
249,256,2
250,256,2
251,256,2
252,256,2
253,256,2
254,256,2
255,256,2
256,256,2
257,256,2
258,256,2
259,256,2
260,256,2
261,256,2
262,256,2
263,256,2
264,256,2
265,256,2
266,256,2
267,256,2
268,256,2
269,256,2
270,256,2
271,256,2
272,256,2
273,256,2
274,256,2
275,256,2
276,256,2
277,256,2
278,256,2
279,256,2
280,256,2
281,256,2
282,256,2
283,256,2
284,256,2
285,256,2
286,256,2
287,256,2
288,256,2
289,256,2
290,256,2
291,256,2
292,256,2
293,256,2
294,256,2
295,256,2
296,256,2
297,256,2
298,256,2
299,256,2
